train_pct,set,x,y,y_hat
10,train,4.5,61111.0,71121.35672880636
10,train,6.0,93940.0,90898.82259683848
10,train,3.0,60150.0,51343.89086077424
10,test,9.6,112635.0,138364.7406801156
10,test,4.9,67938.0,76395.34762694826
10,test,8.2,113812.0,119905.77253661891
10,test,5.3,83088.0,81669.33852509015
10,test,3.2,64445.0,53980.88630984519
10,test,3.7,57189.0,60573.374932522565
10,test,10.3,122391.0,147594.22475186392
10,test,8.7,109431.0,126498.2611592963
10,test,4.0,56957.0,64528.86810612899
10,test,1.1,39343.0,26292.43409460022
10,test,2.2,39891.0,40795.90906449044
10,test,5.1,66029.0,79032.3430760192
10,test,2.9,56642.0,50025.39313623877
10,test,4.1,57081.0,65847.36583066445
10,test,4.0,55794.0,64528.86810612899
10,test,7.9,101302.0,115950.27936301251
10,test,1.3,46205.0,28929.42954367117
10,test,1.5,37731.0,31566.42499274212
10,test,9.0,105582.0,130453.75433290272
10,test,2.0,43525.0,38158.91361541949
10,test,7.1,98273.0,105402.2975667287
10,test,9.5,116969.0,137046.24295558012
10,test,5.9,81363.0,89580.32487230301
10,test,10.5,121872.0,150231.22020093485
10,test,6.8,91738.0,101446.80439312228
10,test,3.2,54445.0,53980.88630984519
10,test,3.9,63218.0,63210.370381593515
20,train,6.8,91738.0,97471.62301794284
20,train,3.2,54445.0,53278.446983592
20,train,3.9,63218.0,61871.564545826885
20,train,4.5,61111.0,69237.09388488535
20,train,6.0,93940.0,87650.91723253154
20,train,3.0,60150.0,50823.27053723918
20,test,9.6,112635.0,131844.0932668824
20,test,4.9,67938.0,74147.44677759102
20,test,8.2,113812.0,114657.85814241262
20,test,5.3,83088.0,79057.79967029666
20,test,3.2,64445.0,53278.446983592
20,test,3.7,57189.0,59416.38809947406
20,test,10.3,122391.0,140437.2108291173
20,test,8.7,109431.0,120795.79925829468
20,test,4.0,56957.0,63099.152769003296
20,test,1.1,39343.0,27499.094296887342
20,test,2.2,39891.0,41002.56475182788
20,test,5.1,66029.0,76602.62322394384
20,test,2.9,56642.0,49595.68231406277
20,test,4.1,57081.0,64326.74099217971
20,test,4.0,55794.0,63099.152769003296
20,test,7.9,101302.0,110975.09347288338
20,test,1.3,46205.0,29954.270743240166
20,test,1.5,37731.0,32409.44718959299
20,test,9.0,105582.0,124478.56392782391
20,test,2.0,43525.0,38547.38830547505
20,test,7.1,98273.0,101154.38768747207
20,test,9.5,116969.0,130616.50504370598
20,test,5.9,81363.0,86423.32900935513
20,test,10.5,121872.0,142892.3872754701
30,train,9.5,116969.0,118008.8590931913
30,train,5.9,81363.0,81655.73580546267
30,train,10.5,121872.0,128106.94889533815
30,train,6.8,91738.0,90744.01662739483
30,train,3.2,54445.0,54390.89333966619
30,train,3.9,63218.0,61459.556201168976
30,train,4.5,61111.0,67518.41008245709
30,train,6.0,93940.0,82665.54478567735
30,train,3.0,60150.0,52371.27537923682
30,test,9.6,112635.0,119018.66807340599
30,test,4.9,67938.0,71557.64600331582
30,test,8.2,113812.0,104881.3423504004
30,test,5.3,83088.0,75596.88192417457
30,test,3.2,64445.0,54390.89333966619
30,test,3.7,57189.0,59439.93824073962
30,test,10.3,122391.0,126087.3309349088
30,test,8.7,109431.0,109930.38725147383
30,test,4.0,56957.0,62469.36518138366
30,test,1.1,39343.0,33184.90475515782
30,test,2.2,39891.0,44292.80353751935
30,test,5.1,66029.0,73577.2639637452
30,test,2.9,56642.0,51361.46639902214
30,test,4.1,57081.0,63479.17416159835
30,test,4.0,55794.0,62469.36518138366
30,test,7.9,101302.0,101851.91540975636
30,test,1.3,46205.0,35204.52271558719
30,test,1.5,37731.0,37224.140676016556
30,test,9.0,105582.0,112959.81419211789
30,test,2.0,43525.0,42273.18557708998
30,test,7.1,98273.0,93773.44356803889
40,train,9.0,105582.0,112303.24581041395
40,train,2.0,43525.0,42405.61112460983
40,train,7.1,98273.0,93331.03068140997
40,train,9.5,116969.0,117295.9340022571
40,train,5.9,81363.0,81348.5790209864
40,train,10.5,121872.0,127281.3103859434
40,train,6.8,91738.0,90335.41776630408
40,train,3.2,54445.0,54388.0627850334
40,train,3.9,63218.0,61377.826253613806
40,train,4.5,61111.0,67369.05208382559
40,train,6.0,93940.0,82347.11665935504
40,train,3.0,60150.0,52390.98750829614
40,test,9.6,112635.0,118294.47164062572
40,test,4.9,67938.0,71363.20263730011
40,test,8.2,113812.0,104314.94470346489
40,test,5.3,83088.0,75357.35319077462
40,test,3.2,64445.0,54388.0627850334
40,test,3.7,57189.0,59380.750976876545
40,test,10.3,122391.0,125284.23510920614
40,test,8.7,109431.0,109307.63289530805
40,test,4.0,56957.0,62376.36389198243
40,test,1.1,39343.0,33418.77237929216
40,test,2.2,39891.0,44402.68640134709
40,test,5.1,66029.0,73360.27791403736
40,test,2.9,56642.0,51392.4498699275
40,test,4.1,57081.0,63374.90153035105
40,test,4.0,55794.0,62376.36389198243
40,test,7.9,101302.0,101319.33178835902
40,test,1.3,46205.0,35415.84765602942
40,test,1.5,37731.0,37412.92293276668
50,train,7.9,101302.0,101159.36399858074
50,train,1.3,46205.0,37692.459755054384
50,train,1.5,37731.0,39615.69927758549
50,train,9.0,105582.0,111737.1813725018
50,train,2.0,43525.0,44423.798083913236
50,train,7.1,98273.0,93466.40590845633
50,train,9.5,116969.0,116545.28017882955
50,train,5.9,81363.0,81926.96877326973
50,train,10.5,121872.0,126161.47779148507
50,train,6.8,91738.0,90581.54662465968
50,train,3.2,54445.0,55963.23521909985
50,train,3.9,63218.0,62694.5735479587
50,train,4.5,61111.0,68464.29211555202
50,train,6.0,93940.0,82888.58853453527
50,train,3.0,60150.0,54039.995696568745
50,test,9.6,112635.0,117506.8999400951
50,test,4.9,67938.0,72310.77116061423
50,test,8.2,113812.0,104044.22328237738
50,test,5.3,83088.0,76157.25020567642
50,test,3.2,64445.0,55963.23521909985
50,test,3.7,57189.0,60771.33402542761
50,test,10.3,122391.0,124238.23826895397
50,test,8.7,109431.0,108852.32208870514
50,test,4.0,56957.0,63656.193309224254
50,test,1.1,39343.0,35769.22023252328
50,test,2.2,39891.0,46347.03760644434
50,test,5.1,66029.0,74234.01068314532
50,test,2.9,56642.0,53078.37593530319
50,test,4.1,57081.0,64617.81307048981
50,test,4.0,55794.0,63656.193309224254
60,train,2.9,56642.0,52076.59695382474
60,train,4.1,57081.0,63760.385125987945
60,train,4.0,55794.0,62786.73611164102
60,train,7.9,101302.0,100759.04767117146
60,train,1.3,46205.0,36498.21272427379
60,train,1.5,37731.0,38445.51075296766
60,train,9.0,105582.0,111469.18682898773
60,train,2.0,43525.0,43313.755824702326
60,train,7.1,98273.0,92969.85555639597
60,train,9.5,116969.0,116337.4319007224
60,train,5.9,81363.0,81286.06738423277
60,train,10.5,121872.0,126073.92204419174
60,train,6.8,91738.0,90048.90851335517
60,train,3.2,54445.0,54997.54399686554
60,train,3.9,63218.0,61813.087097294076
60,train,4.5,61111.0,67654.98118337568
60,train,6.0,93940.0,82259.7163985797
60,train,3.0,60150.0,53050.24596817167
60,test,9.6,112635.0,117311.08091506932
60,test,4.9,67938.0,71549.57724076342
60,test,8.2,113812.0,103679.99471421224
60,test,5.3,83088.0,75444.17329815116
60,test,3.2,64445.0,54997.54399686554
60,test,3.7,57189.0,59865.78906860021
60,test,10.3,122391.0,124126.62401549787
60,test,8.7,109431.0,108548.23978594692
60,test,4.0,56957.0,62786.73611164102
60,test,1.1,39343.0,34550.91469557992
60,test,2.2,39891.0,45261.053853396195
60,test,5.1,66029.0,73496.87526945729
70,train,1.1,39343.0,34336.18172177414
70,train,2.2,39891.0,44999.49855987265
70,train,5.1,66029.0,73111.87931485963
70,train,2.9,56642.0,51785.24563866261
70,train,4.1,57081.0,63417.95491658825
70,train,4.0,55794.0,62448.562476761115
70,train,7.9,101302.0,100254.86763001948
70,train,1.3,46205.0,36274.966601428416
70,train,1.5,37731.0,38213.75148108268
70,train,9.0,105582.0,110918.18446811798
70,train,2.0,43525.0,43060.713680218374
70,train,7.1,98273.0,92499.72811140238
70,train,9.5,116969.0,115765.14666725368
70,train,5.9,81363.0,80867.01883347673
70,train,10.5,121872.0,125459.07106552504
70,train,6.8,91738.0,89591.55079192096
70,train,3.2,54445.0,54693.42295814402
70,train,3.9,63218.0,61479.17003693398
70,train,4.5,61111.0,67295.5246758968
70,train,6.0,93940.0,81836.41127330386
70,train,3.0,60150.0,52754.63807848975
70,test,9.6,112635.0,116734.53910708081
70,test,4.9,67938.0,71173.09443520536
70,test,8.2,113812.0,103163.04494950088
